patent,jurisdiction,assignee,status,filing_date,expiration_date,abstract
US7149557,US,,,,2024-01-14,A mobile communication device includes a display assembly that may be extended from the housing of the mobile communication device to provide a larger display surface for displaying information to a user of the mobile communication device. The display assembly is movable between a retracted position wherein the display assembly is retracted within a cavity formed in the housing and an extended position wherein the display assembly is extended from the housing. The display assembly includes a display for displaying information to a user of the mobile communication device. A window is provided in the housing for allowing the user to view at least part of the display when the display assembly is retracted within the cavity. Information displayed by the display is mapped to the display so that the information may be viewed through the window while the display assembly is retracted within the cavity.
US6338042,US,,,,,
US8050917B2,US,,,,,
US6563941B1,US,,,,,
US7508979B2,US,,,,,
US5995594,US,,,,,
US7511513,US,,,,,
US08050917,US,,,,,
US08578342,US,,,,,
US11279023,US,,,,,
US8884213B2,US,,,,,
US6094681A,US,,,,,
US8314674,US,,,,,
US9606550,US,,,,,
US09516474,US,,,,,
US7202814,US,,,,,
US7090067B2,US,,,,,
US9245091,US,,,,,
US09663392,US,,,,,
US7130403B2,US,,,,,
US9064300B2,US,,,,,
US08398946,US,,,,,
US6338042B1,US,,,,,
US8159318B2,US,,,,,
US5404295A,US,,,,,
US07508979,US,,,,,
US8968575,US,,,,,
US20130335530A1,US,,,,,
US08968575,US,,,,,
US10974213B2,US,,,,2037-10-31,"An apparatus for and method of enabling enhanced, selective agitation of liquid containing a solid-phase reagent. The apparatus includes at least one liquid-bearing container, a circular tray, and a motor. The liquid-bearing container(s) includes at least one internal baffle that imparts turbulent agitation to the liquid when flowing from one end of the container to an opposite end. The circular tray is adapted for selective rotation about a vertical axis of rotation. The rotary circular tray assembly includes container-receiving stations that selectively retain a respective liquid-bearing container in an inclined or pitched orientation with respect to a horizontal plane. The motor creates centrifugal force, which causes liquid in the container(s) to travel from the first end of the container to the second end of the container via the internal baffle(s), agitating the liquid and the solid-phase portions of the reagent. When gravitational force exceeds the centrifugal force, liquid in the container(s) travels from the second end of the container to the first end of the container via the internal baffle(s), again agitating the liquid and the solid-phase portions of the reagent."
US6363145,US,,,,2018-08-17,"A method and system for automated silent call monitoring in an automatic call distributor (ACD) environment includes configuring a set of call performance profiles which include voice data patterns which are descriptive of voice data transmissions during an ACD call and which are associated with substandard agent performance. Each voice data pattern has a corresponding threshold which represents the maximum number of detections tolerated in an ACD call prior to execution of a notification routine. A digital signal processor (DSP) monitors a first call between an agent terminal and a customer terminal for the voice data patterns and stores detection data in memory upon detecting of one of the voice data patterns. A central processor unit (CPU) compares the number of detections of the voice patterns within predetermined time intervals to the threshold numbers of detections represented in the thresholds to determine if any threshold has been exceeded. If no thresholds have been exceeded, the DSP continues to monitor for the voice data patterns. If a threshold has been exceeded, the CPU executes the notification routine wherein a supervisor terminal and the agent terminal are notified of the exceeded threshold. A supervisor notification can include an option to establish a direct monitoring session for the first call and an option to transfer the first call to the supervisor terminal. An agent notification preferably includes call performance analysis which provides suggestions for improving call performance which are responsive to the detected voice data patterns."
US7304259B2,US,,,,2024-06-17,"A method of sorting mail according to the invention includes the steps of receiving a plurality of first mail pieces of unknown origin in a first apparatus for bulk processing of the mail pieces, processing the mail pieces in the first apparatus by one of testing the mail pieces to determine if a potentially dangerous microorganism is present, sterilizing the mail pieces to destroy microorganisms on mail pieces, or both, and then if no contamination is detected or if sterilization is carried out, combining first the mail pieces at a later stage of postal processing with second mail pieces from senders identified as having a lesser risk of contamination than the first mail pieces of unknown origin. The invention further provides mail contaminant detection and sterilization systems suitable for use in such a method."
US8068654,US,,,,2030-08-19,"A method and system for detecting 3D objects in images is disclosed. In particular, a method and system for Ileo-Cecal Valve detection in 3D computed tomography (CT) images using incremental parameter learning and ICV specific prior learning is disclosed. First, second, and third classifiers are sequentially trained to detect candidates for position, scale, and orientation parameters of a box that bounds an object in 3D image. In the training of each sequential classifier, new training samples are generated by scanning the object's configuration parameters in the current learning projected subspace (position, scale, orientation), based on detected candidates resulting from the previous training step. This allows simultaneous detection and registration of a 3D object with full 9 degrees of freedom. ICV specific prior learning can be used to detect candidate voxels for an orifice of the ICV and to detect initial ICV box candidates using a constrained orientation alignment at each candidate voxel."
US5942349A,US,,,,,
US7170024,US,,,,,
US6275869,US,,,,,
US06602053,US,,,,,
US6489837B2,US,,,,,
US5503729A,US,,,,,
US6403067B1,US,,,,,
US4893027,US,,,,,
US10534875,US,,,,2037-02-07,"A method of partitioning a model to facilitate printing of the model on a 3D printer includes identifying partition sensitive locations on the model and creating a binary tree with a root note representative of the model. An iterative partitioning process is applied to divide the model into objects by selecting a node of the binary tree without any children nodes, identifying a portion of the model corresponding to the node, and determining candidate cutting planes on the portion of the model based on the partition sensitive locations. During the process, analytic hierarchical processing (AHP) is applied to select an optimal cutting plane from the candidate cutting planes based on partitioning criteria. The optimal cutting plane is used to segment the portion of the model into sub-portions, and two children nodes representative of these sub-portions are created on the node of the binary tree."
US20110173753A1,US,,,,,
US9741131,US,,,,2034-10-23,"Disclosed herein is a framework for facilitating image processing. In accordance with one aspect, the framework receives first image data acquired by a first modality and one or more articulated models. The one or more articulated models may include at least one section image acquired by the first modality and aligned with a local image acquired by a second modality. The framework may align an anatomical region of the first image data with the section image and non-rigidly register a first region of interest extracted from the section image with a second region of interest extracted from the aligned anatomical region. To generate a segmentation mask of the anatomical region, the registered first region of interest may be inversely mapped to a subject space of the first image data."
US5242431,US,,,,,
US8009900,US,,,,,
US8864438B1,US,,,,,
US20140040275A1,US,,,,,
US9375184B2,US,,,,2034-08-25,A method and system for prediction of respiratory motion from 3D thoracic images is disclosed. A patient-specific anatomical model of the respiratory system is generated from 3D thoracic images of a patient. The patient-specific anatomical model of the respiratory system is deformed using a biomechanical model. The biomechanical model is personalized for the patient by estimating a patient-specific thoracic pressure force field to drive the biomechanical model. Respiratory motion of the patient is predicted using the personalized biomechanical model driven by the patient-specific thoracic pressure force field.
US8948484,US,,,,2033-03-28,"A method and system for automated view planning for cardiac magnetic resonance imaging (MRI) acquisition is disclosed. The method and system automatically generate a full scan prescription using a single 3D MRI volume. The left ventricle (LV) is segmented in the 3D MRI volume. Cardiac landmarks are detected in the automatically prescribed slices. A full scan prescription, including a short axis stack and 2-chamber, 3-chamber, and 4-chamber views, is automatically generated based on cardiac anchors provided by the segmented left ventricle and the detected cardiac landmarks in the 3D MRI volume."
US7473364B2,US,,,,,
US7321803,US,,,,,
CN112996906B,CN,,,,,
US6594366,US,,,,2017-12-02,"A headset/headphone sensing jack (203, 208, 210). A two-channel sensing circuit (210) is provided which detects whether a headphone (101) or headset (103) is installed. By employing an impedance sensing circuit (210), it is possible to use a single common 2.5 mm jack (120) for both radio and telephony operation. Formerly, two separate jacks would be required for both functions. An electronic device (50) according to the present invention is further capable of switching between AM/FM radio and telephone modes depending on whether a particular headpiece (101, 103) is installed."
US6574743,US,,,,,
US5673253,US,,,,,
US4934366,US,,,,,
US6003089A,US,,,,2017-03-31,"In a network, the efficiency of data transfer is improved. The network includes packets of data (100, 120). The invention begins by preserving an original packet (100). A larger packet (140) is then constructed by combining two packets (100, 120). Either the original packet (100) or the larger packet (140) is transmitted over the network. The original packet (100) is transmitted if the media/port (52) becomes available for transmission before the larger packet (140) is constructed, and the larger packet (140) is transmitted if the constructing of the larger packet (140) is completed before the media (52) becomes available. In a network with cells, a packet is constructed by combining cells. This packet is built until the media becomes available for transmission. The size and composition of this packet is independent of an original packet's size and composition."
US07603412,US,,,,,
US6490252B1,US,,,,2017-02-12,"A data traffic network 200 in which excess cells, or cells whose transfer is expected to cause the user to exceed the QoS traffic contract bandwidth limit, are transferred to a destination node 300 b via an alternate or secondary network 212. More particularly, traffic received at a first ATM node 300 a (for example, an end user node) is or has been classified according to traffic type, such as voice, data, or video (with their corresponding characteristics). Prior to packetizing the data streams into the ATM fixed length packets, the ATM node 300 a, 600 a determines whether the QoS traffic contract bandwidth limit has been exceeded or is likely to be exceeded. If so, then the corresponding traffic is transmitted to the destination node 300 b via an appropriate alternate network 212. For example, voice traffic is transferred to a PBX and, ultimately, to the public switched telephone network (PSTN). Once the bandwidth utilization of the ATM network 305 falls below the threshold level, all traffic is routed back through the ATM network."
US7215322B2,US,,,,,
US8068650,US,,,,2030-06-30,A method for lesion detection includes acquiring pre-therapy medical image data from a first modality. Post-therapy medical image data is acquired from a second modality. A transformation matrix for transforming from an image space of the first modality to an image space of the second modality is calculated. A volume of interest is defined from the medical image data of the first modality. The volume of interest includes one or more lesions. The volume of interest is automatically copied to the medical image data of the second modality using the calculated transformation matrix. Treatment is directed to the lesion using the medical image data of the second modality including the copied volume of interest data.
US10307957,US,,,,,
US07170024,US,,,,,
US6546087,US,,,,,
US07264716,US,,,,,
US7447333,US,,,,2027-06-04,"We present, in exemplary embodiments of the present invention, novel systems and methods for syndromic surveillance that can automatically monitor symptoms that may be associated with the early presentation of a syndrome (e.g., fever, coughing, sneezing, runny nose, sniffling, rashes). Although not so limited, the novel surveillance systems described herein can be placed in common areas occupied by a crowd of people, in accordance with local and national laws applicable to such surveillance. Common areas may include public areas (e.g., an airport, train station, sports arena) and private areas (e.g., a doctor's waiting room). The monitored symptoms may be transmitted to a responder (e.g., a person, an information system) outside of the surveillance system, such that the responder can take appropriate action to identifying, treat and quarantine potentially infected individuals, as necessary."
US8476571,US,,,,,
US7149557B2,US,,,,,
US5431691,US,,,,,
US06778882,US,,,,,
US9711261,US,,,,,
US7113981,US,,,,,
US06836142,US,,,,,
US7903113,US,,,,,
US09341693,US,,,,,
US9127344,US,,,,,
DE102013215703B3,DE,,,,,
US9031614,US,,,,2034-03-01,"An electronic business card is provided with voice data associated with the card owner. In some embodiments, the voice data is a digitized voice sample; in other embodiments, the voice data is a selection of pre-processed voice recognition data associated with a voice sample. In some implementations, the electronic business card can be transferred to other parties using a Bluetooth personal network. A user application can then make use of the voice sample or pre-processed voice recognition data for security or user identification."
US7184531B2,US,,,,,
US08703831,US,,,,,
US7085660,US,,,,,
US8591740,US,,,,,
US5519773A,US,,,,,
CN105065050B,CN,,,,2035-07-20,本发明提供一种用于煤矿井下综采工作面液压支架集中控制平台的实现方法，选用西门子PLC S7‑300、C8051F020单片机、PowerBuilder工具、SQLServer数据库和多协议通讯平台构成集控平台；以PowerBuilder工具作为前端开发平台，西门子PLC S7‑300、C8051F020单片机为实时控制平台，以此实现对煤矿井下综采工作面液压支架的集中控制。本发明所提供的控制方法具有集中控制的自动追机拉架功能；能完成基于视频的顺槽远程调整控制功能；能将各种信息实时远程传到地面监控中心；能进行采煤过程中各种故障的实时监测；实现了煤矿生产的自动化。
US07385372,US,,,,,
US5898668,US,,,,,
US9033887B2,US,,,,,
US8399072,US,,,,,
US09888893,US,,,,,
US8520920,US,,,,2031-12-23,"A system dynamically improves quality of medical images using at least one processing device including an image analyzer, a correction processor and a message generator. The image analyzer automatically parses and analyzes data representing an image of a particular anatomical feature of a patient acquired by a medical image acquisition device to identify defects in the image by examining the data representing the image for predetermined patterns associated with image defects. The correction processor uses a predetermined information map associating image defects with corresponding corrective image acquisition parameters to determine corrected image acquisition parameters for use in re-acquiring an image using the image acquisition device in response to an identified defect. The message generator generates a message for presentation to a user indicating an identified defect and suggesting use of the corrected image acquisition parameters for re-acquiring an image."
US7512450B2,US,,,,,
US09668333,US,,,,,
US6389104,US,,,,,
US8948484B2,US,,,,,
US6529122B1,US,,,,2020-02-15,"The tactile sensor has at least two conductive workpieces which bear on one another at a bearing area, at least one workpiece of which is produced from elastomer, with the result that it is possible to measure a contact resistance between the workpieces, which contact resistance is dependent at least on a pressure on the bearing area. At least one of the conductive workpieces comprises a conductive closed cell foam."
US8228657B2,US,,,,,
US8625869,US,,,,,
US7672491,US,,,,,
CN115276593B,CN,,,,2042-06-27,本发明涉及微电子器件领域，本发明公开了一种声波谐振器及滤波器。该声波谐振器包括依次层叠的支撑衬底、压电薄膜和叉指换能器；该叉指换能器包括多个交错间隔排列的叉指电极；该压电薄膜内设有间隔排列的多个导电区域；该多个导电区域与多个该叉指电极一一对应；该多个导电区域中的每个导电区域的电导率大于等于50西门子/米；每个该导电区域的形成方法为掺杂、离子注入和离子辐照中的一种或者多种。本发明基于异质集成衬底的声波谐振器通过在叉指电极的下方压电薄膜内设置导电区域，能够提高谐振器的机电耦合系数，从而有效保证谐振器在横向电场激励作用下产生的目标模式，并抑制纵向电场激发的以及由不均匀分布的横向电场引起的杂散模式。
US07184802,US,,,,,
US5838313A,US,,,,2015-11-20,"A multimedia-based reporting system utilizes a command interpreter and an annotation input interpreter to receive inputs from a user and forwards the inputs to an open report handler, a save report handler, a delete current report handler, a mail report handler, an attach media handler, a print report handler, a static annotation handler, a dynamic annotation handler including recording and playback and an annotation on annotation handler. The static annotation handler allows the user to add drawings and text to the report. The dynamic annotation handler allows the user to record/playback annotations from the annotation input interpreter. The annotation on annotation handler allows the user to record a session of dynamic annotation based on a segment of existent dynamic annotation."
US9036878B2,US,,,,,
US9697586,US,,,,,
US7110753B2,US,,,,,
US10296022,US,,,,,
US7903113B2,US,,,,,
US5870610,US,,,,,
US8165660B2,US,,,,,
US8376947,US,,,,,
US20130218349A1,US,,,,2034-07-11,A system is provided for communicating common data associated with building automation objects between building automation devices across a network. The common data corresponds to a group of one or more building automation objects representing points associated with a plurality of field devices controlled or monitored in a building by the building automation devices. The system comprises a first building automation device having a group master object that includes a group identifier. A second building automation device includes a group member object having the same group identifier as the group master object. The group master object exchanges the common data to each of the building automation devices having a group member object that has the same group identifier as the group master object.
US6471044,US,,,,,
US20110022193A1,US,,,,,
US6528208,US,,,,,
US7146139B2,US,,,,2024-04-07,"A system and method for reducing the Specific Absorption Rate (SAR) of a mobile communication device employs a sensor assembly for sensing when the mobile communication device is in proximity to a body such as a human body, animal body, or the like. The average power of the radio frequency electromagnetic energy radiated by the mobile communication device may then be reduced only when necessary so that the SAR value for the device is maintained below a predetermined acceptable level."
US8595831,US,,,,,
US06530221,US,,,,,
US6505237B2,US,,,,,
US20110210077A1,US,,,,,
US07156627,US,,,,,
US09548497,US,,,,,
US8954197B2,US,,,,2032-02-04,"An arrangement includes a computer server management system, a data management station of a building environmental control system and a data interface therebetween. The computer server management system is configured to coordinate the usage of a plurality of server computers, the computer server management system executing virtualization software configured to manage application processing on the plurality of server computers located in at least one data center. The data management station is operably coupled to controllers, sensors and actuators of the building environmental control system. The data management station is configured to provide at least some data via the data interface to the computer server management data system."
US5942349,US,,,,,
US9996405B2,US,,,,,
US08060186,US,,,,,
US7848265,US,,,,,
US7718057B2,US,,,,,
US10296022B2,US,,,,,
US6389104B1,US,,,,,
CN105546572B,CN,,,,,
US07633271,US,,,,,
US09697586,US,,,,,
US7988357,US,,,,2029-09-23,An x-ray system is provided. The x-ray system includes an x-ray emitter which can be adjusted by at least one arm as a first x-ray component and a recording system which can be adjusted independently of the at least one arm. The recording system may be adjusted by at least one additional arm as the further x-ray component. The two arms can be pivotably mounted about a common axis of rotation.
US5334220,US,,,,,
US6946972B2,US,,,,,
CN113364746B,CN,,,,,
US5872841,US,,,,,
US9120851,US,,,,,
US06673501,US,,,,,
US06753828,US,,,,,
US08476571,US,,,,,
US5084674A,US,,,,,
US8398946B2,US,,,,,
US06847351,US,,,,,
US20120158185A1,US,,,,,
US5535874A,US,,,,,
US6834298B1,US,,,,,
US20150142152A1,US,,,,,
US6999996B2,US,,,,,
US11599003,US,,,,,
US6788197,US,,,,,
US4809697,US,,,,,
US9805465B2,US,,,,,
US20080101683A1,US,,,,,
US5961571A,US,,,,,
US07000422,US,,,,,
CN110862881B,CN,,,,,
US20240287621A1,US,,,,,
US6684063B2,US,,,,,
US9189851B2,US,,,,,
US8686727B2,US,,,,,
US6438216,US,,,,,
US7156627,US,,,,2023-02-12,"A compressor unit comprises a centrifugal compressor (1) for compressing a gas, having a rotor (2) with one or more compressor impellers (3), and an electric motor (4) having a stator (5) and a rotor (6), for driving the rotor (2) of the compressor. The compressor and the electric motor are accommodated in a common gas-tight housing (7) which is provided with a gas inlet (8) and a gas outlet (9). The rotor of the compressor and the rotor of the electric motor are arranged on a common rotor shaft (10) which is mounted in magnetic bearings (11, 12, 15). The rotor shaft (10) comprises a single unit and is mounted in two radial magnetic bearings (11, 12), each in the vicinity of one end of the common rotor shaft, and one axial magnetic bearing (15), which is arranged in the vicinity of one (11) of the radial bearings."
US08595831,US,,,,,
US8747794,US,,,,,
US9340901B2,US,,,,,
US5943410A,US,,,,,
US6509833B2,US,,,,,
US07269569,US,,,,,
US8195844B2,US,,,,,
US6836142,US,,,,,
US9033887,US,,,,,
US07404896,US,,,,,
US6684063,US,,,,,
US20080245738A1,US,,,,,
US7272452B2,US,,,,,
US07547174,US,,,,,
US6401936,US,,,,,
US6530221,US,,,,,
US5623540A,US,,,,,
US6574743B1,US,,,,,
US6003089,US,,,,,
US10452036,US,,,,,
US09395082,US,,,,,
US09194925,US,,,,,
US12159390B2,US,,,,,
US8055778B2,US,,,,,
US7139685,US,,,,,
US07085660,US,,,,,
US7106222B2,US,,,,,
US07473364,US,,,,,
US7269569B2,US,,,,,
US08778624,US,,,,,
US8009900B2,US,,,,2030-06-29,"A system and method for detecting an object in a high dimensional image space is disclosed. A three dimensional image of an object is received. A first classifier is trained in the marginal space of the object center location which generates a predetermined number of candidate object center locations. A second classifier is trained to identify potential object center locations and orientations from the predetermined number of candidate object center locations and maintaining a subset of the candidate object center locations. A third classifier is trained to identify potential locations, orientations and scale of the object center from the subset of the candidate object center locations. A single candidate object pose for the object is identified."
US8977525B2,US,,,,,
US5003975,US,,,,,
US11434103,US,,,,,
US08626533,US,,,,,
US7184802B2,US,,,,,
US09033887,US,,,,,
US07702596,US,,,,,
US6636503B1,US,,,,,
US5966427A,US,,,,,
US8977525,US,,,,,
US08086664,US,,,,,
US11434103B2,US,,,,,
US9030201,US,,,,,
US7006950B1,US,,,,,
US7718057,US,,,,,
CN201166796Y,CN,,,,2017-12-11,一种通用空调控制器，它由装在盒内的控制基板及外围接口构成，包括控制电源、DSP主控电路、模拟量输入输出电路、CPLD逻辑电路、通讯接口I/O底板和MVB网卡/其他列车总线网卡，DSP主控电路通过总线与其他各部分电路相连。数字量输入用光电耦合输入方式，控制主板上CPU则集成了多模拟量输入通道、多种通讯接口，兼容性和可扩展性都很好，既能用于铁路客车的空调及车电控制，有可以用于地铁轻轨车辆的空调及车电控制。
US10997796,US,,,,,
US7106222,US,,,,,
US5629870A,US,,,,,
US9693742B2,US,,,,,
US08686727,US,,,,,
US6633742,US,,,,,
US07596402,US,,,,,
US20080095421A1,US,,,,,
US8645507,US,,,,,
US8376947B2,US,,,,,
US8663506B2,US,,,,,
US9341693B2,US,,,,,
US6128380A,US,,,,,
US6275869B1,US,,,,,
US7404896B2,US,,,,,
US09805465,US,,,,,
US7085660B2,US,,,,,
US06738390,US,,,,,
CN103068330B,CN,,,,,
US6289267B1,US,,,,,
US11826700,US,,,,,
US07047753,US,,,,,
US8086664B2,US,,,,,
US9878017,US,,,,,
US09059927,US,,,,,
US5629870,US,,,,,
US9395082,US,,,,,
US6222544,US,,,,,
US6946972,US,,,,,
US6067516A,US,,,,,
US20100080434A1,US,,,,,
US6493428B1,US,,,,,
US8738115B2,US,,,,,
US11123932,US,,,,,
US6119006,US,,,,,
US8655461B2,US,,,,,
JP5654453B2,JP,,,,,
US06946972,US,,,,,
US07146139,US,,,,,
US7343360,US,,,,,
US10564193,US,,,,,
US8516449B2,US,,,,,
US11599003B2,US,,,,,
US9693742,US,,,,,
US8060186,US,,,,,
US6092114A,US,,,,,
US5318572A,US,,,,,
US9649765,US,,,,,
US8968575B2,US,,,,,
US5911123A,US,,,,,
JP2020171711A,JP,,,,,
US07931808,US,,,,,
US20110005284A1,US,,,,,
US5715325,US,,,,,
US7792342,US,,,,,
US11490815,US,,,,,
US9127344B2,US,,,,,
US7548833B2,US,,,,,
US07510655,US,,,,,
US5350410A,US,,,,,
US8578342,US,,,,,
US7858427B2,US,,,,,
US7257769,US,,,,,
US7304259,US,,,,,
US08165660,US,,,,,
US6351513B1,US,,,,,
JP5762949B2,JP,,,,,
US9708852B2,US,,,,,
US8645507B2,US,,,,,
US6094681,US,,,,,
US9516474,US,,,,,
US8165660,US,,,,,
US9081073B2,US,,,,,
US9340901,US,,,,,
US9157976B2,US,,,,,
US9122821B2,US,,,,,
CN101169656B,CN,,,,,
US6753828,US,,,,,
US7570738,US,,,,,
US7383148B2,US,,,,,
US11826700B2,US,,,,,
EP2762801B1,EP,,,,,
US9548497B2,US,,,,,
US6449260B1,US,,,,,
US6370238,US,,,,,
US8724874,US,,,,,
US08958614,US,,,,,
US12095072B2,US,,,,,
US09340901,US,,,,,
EP2320403B1,EP,,,,,
US9059927,US,,,,,
US9403939,US,,,,,
US9548497,US,,,,,
US7808514,US,,,,,
US20180118786A1,US,,,,,
US8595831B2,US,,,,,
US9366378,US,,,,,
US08376947,US,,,,,
US7257769B2,US,,,,,
US5267564,US,,,,,
US7305282B2,US,,,,,
US11715823,US,,,,,
CN115261486B,CN,,,,,
US7935327B2,US,,,,,
US06401936,US,,,,,
US7702596,US,,,,,
US09996405,US,,,,,
US7889133B2,US,,,,,
US8548231B2,US,,,,,
US8703831B2,US,,,,,
US10444311B2,US,,,,,
US9668333B2,US,,,,,
US07110753,US,,,,,
US7596402B2,US,,,,,
US4935164A,US,,,,,
US6363145B1,US,,,,,
US6453336B1,US,,,,,
US5570372A,US,,,,,
US9030201B2,US,,,,,
US09403939,US,,,,,
US7505817B2,US,,,,,
US10271817,US,,,,,
US6145083A,US,,,,,
US07542756,US,,,,,
US9516474B2,US,,,,,
US5596263,US,,,,,
US10414047,US,,,,,
US8753277,US,,,,,
US6291763B1,US,,,,,
US06389104,US,,,,,
US6532218B1,US,,,,,
US7808514B2,US,,,,,
US8864438,US,,,,,
US07149557,US,,,,,
US5334220A,US,,,,,
US06322249,US,,,,,
US08864438,US,,,,,
US7972584,US,,,,,
US09366378,US,,,,,
US9708852,US,,,,,
US07436979,US,,,,,
US6471044B1,US,,,,,
US7215322,US,,,,,
US07130403,US,,,,,
US6145083,US,,,,,
US20120226485A1,US,,,,,
US6788197B1,US,,,,,
US5535874,US,,,,,
US9194959B2,US,,,,,
US06888537,US,,,,,
US8086664,US,,,,,
US6356437B1,US,,,,,
US09157976,US,,,,,
US6697894,US,,,,,
US6390756,US,,,,,
US6920318B2,US,,,,,
US20200102961A1,US,,,,,
EP3101534A1,EP,,,,,
US20110132839A1,US,,,,,
CN101432460B,CN,,,,,
US09815201,US,,,,,
US6673501B1,US,,,,,
US7047753,US,,,,,
US07546127,US,,,,,
US7404896,US,,,,,
US8703931B2,US,,,,,
US7436979B2,US,,,,,
CN103869775B,CN,,,,,
US10476084B2,US,,,,,
US8943478B2,US,,,,,
US6198696B1,US,,,,,
CN103901862B,CN,,,,,
US9649765B2,US,,,,,
US07184531,US,,,,,
US7496954B1,US,,,,,
US08314674,US,,,,,
US8738115,US,,,,,
US6477374B1,US,,,,,
US06574743,US,,,,,
US20080188912A1,US,,,,,
US10490070,US,,,,,
US9341693,US,,,,,
US10414047B2,US,,,,,
US8195844,US,,,,,
US20160303804A1,US,,,,,
US6602053,US,,,,,
US07792342,US,,,,,
US08943478,US,,,,,
US6847351B2,US,,,,,
US5908713A,US,,,,,
US11848411,US,,,,,
US7931808,US,,,,,
US10444311,US,,,,,
US08335557,US,,,,,
US20170032090A1,US,,,,,
US6530221B1,US,,,,2020-09-21,"A resonator module for a combustion turbine power plant, where the combustion turbine power plant defines a flow path. The resonator module includes a first member, an a second member. The first member has a size substantially smaller than the diameter of said flow path and a plurality of openings therethrough. The openings are in fluid communication with the flow path. The second member has a size generally equal to said first member. The second member is in a generally spaced relation to the first member and encloses a volume of gas between the first and second members."
US10534875B2,US,,,,,
US8805748B2,US,,,,,
US08068654,US,,,,,
US06865450,US,,,,,
US6602053B2,US,,,,,
DE102005032755B4,DE,,,,,
US10974213,US,,,,,
US20130085719A1,US,,,,,
US8958614B2,US,,,,,
US7264716B2,US,,,,,
US8578342B2,US,,,,,
US6865450B2,US,,,,,
US20140161334A1,US,,,,,
US20130268128A1,US,,,,,
US7889133,US,,,,,
